Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Source
1378-08-12,Genclerbirligi,Adalet,1,1,D,Turkish_League_Hijri
1378-08-12,Izmirspor,Beykoz 1908,2,1,H,Turkish_League_Hijri
1378-08-12,Ankara Demirspor,Galatasaray,0,2,A,Turkish_League_Hijri
1378-08-12,Fenerbahce,MKE Ankaragucu,3,1,H,Turkish_League_Hijri
1378-08-12,Altay,Besiktas,1,2,A,Turkish_League_Hijri
1378-08-12,Istanbulspor,Ankara Keciorengucu,0,2,A,Turkish_League_Hijri
1378-08-13,Altay,Beykoz 1908,2,2,D,Turkish_League_Hijri
1378-08-13,Istanbulspor,MKE Ankaragucu,1,1,D,Turkish_League_Hijri
1378-08-13,Fenerbahce,Ankara Keciorengucu,2,1,H,Turkish_League_Hijri
1378-08-13,Genclerbirligi,Galatasaray,0,0,D,Turkish_League_Hijri
1378-08-13,Ankara Demirspor,Adalet,2,0,H,Turkish_League_Hijri
1378-08-13,Izmirspor,Besiktas,1,1,D,Turkish_League_Hijri
1378-08-16,Beykoz 1908,Besiktas,1,0,H,Turkish_League_Hijri
1378-08-16,Vefa,Fatih Karagumruk,1,0,H,Turkish_League_Hijri
1378-08-19,Adalet,Goztepe,0,0,D,Turkish_League_Hijri
1378-08-19,Izmirspor,Istanbulspor,2,0,H,Turkish_League_Hijri
1378-08-19,Altay,Fenerbahce,0,1,A,Turkish_League_Hijri
1378-08-19,Galatasaray,Karsiyaka,1,1,D,Turkish_League_Hijri
1378-08-20,Adalet,Karsiyaka,0,0,D,Turkish_League_Hijri
1378-08-20,Altay,Istanbulspor,2,0,H,Turkish_League_Hijri
1378-08-20,Izmirspor,Fenerbahce,0,0,D,Turkish_League_Hijri
1378-08-20,Galatasaray,Goztepe,0,0,D,Turkish_League_Hijri
1378-08-26,Genclerbirligi,Vefa,0,3,A,Turkish_League_Hijri
1378-08-26,Besiktas,Ankara Keciorengucu,3,2,H,Turkish_League_Hijri
1378-08-26,Ankara Demirspor,Fatih Karagumruk,0,0,D,Turkish_League_Hijri
1378-08-26,Beykoz 1908,MKE Ankaragucu,3,1,H,Turkish_League_Hijri
1378-08-27,Besiktas,MKE Ankaragucu,0,0,D,Turkish_League_Hijri
1378-08-27,Altay,Izmirspor,1,1,D,Turkish_League_Hijri
1378-08-27,Genclerbirligi,Fatih Karagumruk,0,1,A,Turkish_League_Hijri
1378-08-27,Goztepe,Karsiyaka,3,2,H,Turkish_League_Hijri
1378-08-27,Beykoz 1908,Ankara Keciorengucu,0,1,A,Turkish_League_Hijri
1378-08-27,Ankara Demirspor,Vefa,1,1,D,Turkish_League_Hijri
1378-09-01,Vefa,Galatasaray,0,0,D,Turkish_League_Hijri
1378-09-01,Istanbulspor,Beykoz 1908,2,0,H,Turkish_League_Hijri
1378-09-04,Besiktas,Istanbulspor,2,1,H,Turkish_League_Hijri
1378-09-04,Ankara Demirspor,Karsiyaka,1,0,H,Turkish_League_Hijri
1378-09-04,Genclerbirligi,Goztepe,2,2,D,Turkish_League_Hijri
1378-09-04,Altay,Ankara Keciorengucu,1,0,H,Turkish_League_Hijri
1378-09-05,Fenerbahce,Beykoz 1908,2,1,H,Turkish_League_Hijri
1378-09-05,Izmirspor,Ankara Keciorengucu,1,0,H,Turkish_League_Hijri
1378-09-05,Altay,MKE Ankaragucu,1,0,H,Turkish_League_Hijri
1378-09-05,Galatasaray,Adalet,2,1,H,Turkish_League_Hijri
1378-09-05,Genclerbirligi,Karsiyaka,1,1,D,Turkish_League_Hijri
1378-09-05,Ankara Demirspor,Goztepe,1,1,D,Turkish_League_Hijri
1378-09-07,Izmirspor,MKE Ankaragucu,1,0,H,Turkish_League_Hijri
1378-09-08,Adalet,Fatih Karagumruk,1,1,D,Turkish_League_Hijri
1378-09-08,Fenerbahce,Besiktas,1,0,H,Turkish_League_Hijri
1378-09-11,Ankara Demirspor,Genclerbirligi,0,0,D,Turkish_League_Hijri
1378-09-11,Beykoz 1908,Izmirspor,2,1,H,Turkish_League_Hijri
1378-09-11,Goztepe,Vefa,0,1,A,Turkish_League_Hijri
1378-09-11,Istanbulspor,Altay,0,1,A,Turkish_League_Hijri
1378-09-11,Karsiyaka,Galatasaray,0,1,A,Turkish_League_Hijri
1378-09-12,Ankara Keciorengucu,MKE Ankaragucu,1,3,A,Turkish_League_Hijri
1378-09-12,Goztepe,Galatasaray,0,5,A,Turkish_League_Hijri
1378-09-12,Istanbulspor,Izmirspor,0,0,D,Turkish_League_Hijri
1378-09-12,Beykoz 1908,Altay,2,2,D,Turkish_League_Hijri
1378-09-12,Karsiyaka,Vefa,2,0,H,Turkish_League_Hijri
1378-09-15,Vefa,Adalet,2,2,D,Turkish_League_Hijri
1378-09-15,Galatasaray,Fatih Karagumruk,1,0,H,Turkish_League_Hijri
1378-09-18,Besiktas,Izmirspor,2,0,H,Turkish_League_Hijri
1378-09-18,Fenerbahce,Altay,1,1,D,Turkish_League_Hijri
1378-09-18,MKE Ankaragucu,Beykoz 1908,2,2,D,Turkish_League_Hijri
1378-09-18,Ankara Keciorengucu,Istanbulspor,1,1,D,Turkish_League_Hijri
1378-09-19,Ankara Keciorengucu,Beykoz 1908,2,1,H,Turkish_League_Hijri
1378-09-19,Fenerbahce,Izmirspor,1,0,H,Turkish_League_Hijri
1378-09-19,MKE Ankaragucu,Istanbulspor,1,0,H,Turkish_League_Hijri
1378-09-19,Besiktas,Altay,1,3,A,Turkish_League_Hijri
1378-09-29,Besiktas,Beykoz 1908,3,2,H,Turkish_League_Hijri
1378-09-29,Fenerbahce,Istanbulspor,3,0,H,Turkish_League_Hijri
1378-10-02,Karsiyaka,Fatih Karagumruk,0,3,A,Turkish_League_Hijri
1378-10-02,Galatasaray,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1378-10-02,MKE Ankaragucu,Izmirspor,1,0,H,Turkish_League_Hijri
1378-10-02,Vefa,Genclerbirligi,3,0,H,Turkish_League_Hijri
1378-10-02,Ankara Keciorengucu,Altay,2,0,H,Turkish_League_Hijri
1378-10-02,Goztepe,Adalet,2,3,A,Turkish_League_Hijri
1378-10-03,Goztepe,Fatih Karagumruk,3,0,H,Turkish_League_Hijri
1378-10-03,Galatasaray,Genclerbirligi,0,0,D,Turkish_League_Hijri
1378-10-03,Vefa,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1378-10-03,MKE Ankaragucu,Altay,2,1,H,Turkish_League_Hijri
1378-10-03,Karsiyaka,Adalet,3,1,H,Turkish_League_Hijri
1378-10-03,Ankara Keciorengucu,Izmirspor,1,0,H,Turkish_League_Hijri
1378-10-09,Adalet,Genclerbirligi,2,3,A,Turkish_League_Hijri
1378-10-09,Ankara Keciorengucu,Fenerbahce,1,4,A,Turkish_League_Hijri
1378-10-09,Fatih Karagumruk,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1378-10-09,MKE Ankaragucu,Besiktas,1,3,A,Turkish_League_Hijri
1378-10-10,Adalet,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1378-10-10,Ankara Keciorengucu,Besiktas,0,3,A,Turkish_League_Hijri
1378-10-10,Izmirspor,Altay,2,2,D,Turkish_League_Hijri
